entity_group,entity_normalized,count,word_versions
LOCATION,aleksandrovka,1,['Aleksandrovka']
LOCATION,alekseevsky,3,['Alekseevsky']
LOCATION,alekseyevka,2,['Alekseyevka']
LOCATION,aleksinsky,1,['Aleksinsky']
LOCATION,alenquer,1,['Alenquer']
LOCATION,aleppo,46,['Aleppo']
LOCATION,alessia ma,1,['Alessia Ma']
LOCATION,alexandria,2,['Alexandria']
LOCATION,alexandrinsky,1,['Alexandrinsky']
LOCATION,alexandroupolis,4,['Alexandroupolis']
LOCATION,alexandrova,1,['Alexandrova']
LOCATION,alexela concert hall,1,['Alexela Concert Hall']
LOCATION,alexsandrovka,3,['Alexsandrovka']
LOCATION,alfavi,1,['Alfavi']
LOCATION,algeria,43,['Algeria']
LOCATION,algiers,9,['Algiers']
LOCATION,aliağa,1,['Aliağa']
LOCATION,alicante,9,['Alicante']
LOCATION,all saints,1,['All Saints']
LOCATION,all saints monastery,2,['All Saints Monastery']
LOCATION,allard pierson museum,9,['Allard Pierson Museum']
LOCATION,alley,1,['Alley']
LOCATION,alley of,1,['Alley of']
LOCATION,alley of glory,1,['Alley of Glory']
LOCATION,almaty,1,['Almaty']
LOCATION,almetyevsk,1,['Almetyevsk']
LOCATION,alona,1,['Alona']
LOCATION,alps,11,['Alps']
LOCATION,alta mira,1,['Alta Mira']
LOCATION,altai,2,['Altai']
LOCATION,altai krai,2,['Altai Krai']
LOCATION,altanbulag,3,['Altanbulag']
LOCATION,altay,1,['Altay']
LOCATION,alto,1,['alto']
LOCATION,altrincham,1,['Altrincham']
LOCATION,altura,1,['Altura']
LOCATION,alupka,2,['Alupka']
LOCATION,alushka,1,['Alushka']
LOCATION,alushta,1,['Alushta']
LOCATION,am,4,"['AM', 'Am']"
LOCATION,amade,2,['Amade']
LOCATION,amadea,8,['Amadea']
LOCATION,amalienborg palace,3,['Amalienborg Palace']
LOCATION,amazon,17,['Amazon']
LOCATION,amb vasyl,1,['Amb Vasyl']
LOCATION,america,475,['America']
LOCATION,americas,8,['Americas']
LOCATION,amhara,1,['Amhara']
LOCATION,amirabad,1,['Amirabad']
LOCATION,amman,2,['Amman']
LOCATION,amorgos,2,['Amorgos']
LOCATION,amritsar,2,['Amritsar']
LOCATION,amsterdam,64,['Amsterdam']
LOCATION,amsterdamju,1,['Amsterdamju']
LOCATION,amur,4,['Amur']
LOCATION,amvrosiivka,1,['Amvrosiivka']
LOCATION,an,2,['An']
LOCATION,anapa,8,['Anapa']
LOCATION,anchorage,26,['Anchorage']
LOCATION,ancona,1,['Ancona']
LOCATION,andalucía,5,['Andalucía']
LOCATION,andalusia,4,['Andalusia']
LOCATION,andes,1,['Andes']
LOCATION,andorra,2,['Andorra']
LOCATION,andreapol,1,['Andreapol']
LOCATION,andrei sakharov square,1,['Andrei Sakharov Square']
LOCATION,andrews,1,['Andrews']
LOCATION,andrews air force base,1,['Andrews Air Force Base']
LOCATION,andriivka,42,['Andriivka']
LOCATION,andriivkaand klishchiivka,1,['Andriivkaand Klishchiivka']
LOCATION,andriivkain,1,['Andriivkain']
LOCATION,andriivkanear bakhmut,1,['Andriivkanear Bakhmut']
LOCATION,andriivkato,1,['Andriivkato']
LOCATION,andriyivka,1,['Andriyivka']
LOCATION,andriyivsky spusk,1,['Andriyivsky Spusk']
LOCATION,andromeda,1,['Andromeda']
LOCATION,ang,1,['Ang']
LOCATION,angara,1,['Angara']
LOCATION,angers,1,['Angers']
LOCATION,anglesey re,1,['Anglesey Re']
LOCATION,anglican,1,['Anglican']
LOCATION,angola,20,['Angola']
LOCATION,angstrem,1,['Angstrem']
LOCATION,anhalt,3,['Anhalt']
LOCATION,ankara,266,['Ankara']
LOCATION,annapolis,1,['Annapolis']
LOCATION,antalya,20,['Antalya']
LOCATION,antarctic,1,['Antarctic']
LOCATION,antarctica,6,['Antarctica']
LOCATION,anti,7,"['Anti', 'anti']"
LOCATION,anti - corr,1,['Anti - Corr']
LOCATION,antigua,5,['Antigua']
LOCATION,antigua and barbuda,1,['Antigua and Barbuda']
LOCATION,antipino,1,['Antipino']
LOCATION,antonivka,14,['Antonivka']
LOCATION,antonivskiy,6,['Antonivskiy']
LOCATION,antonivskiy bridge,27,['Antonivskiy Bridge']
LOCATION,antonivskiy bridgeover,1,['Antonivskiy Bridgeover']
LOCATION,antonivsky,2,['Antonivsky']
LOCATION,antonivsky bridge,7,['Antonivsky Bridge']
LOCATION,antonivsky bridgeacross the dnieper rivernea,1,['Antonivsky Bridgeacross the Dnieper Rivernea']
LOCATION,antonivskyi,4,['Antonivskyi']
LOCATION,antonivskyi bridge,10,['Antonivskyi Bridge']
LOCATION,antonivsʹkyy bridge,1,['Antonivsʹkyy Bridge']
LOCATION,antonov,4,['Antonov']
LOCATION,antonov international airport,1,['Antonov International Airport']
LOCATION,antonovskiy,1,['Antonovskiy']
LOCATION,antonovskiy bridge,3,['Antonovskiy Bridge']
LOCATION,antonovsky,6,['Antonovsky']
LOCATION,antonovsky bridge,1,['Antonovsky Bridge']
LOCATION,antwerp,22,['Antwerp']
LOCATION,antwerp world diamond centre,1,['Antwerp World Diamond Centre']
LOCATION,anzali,1,['Anzali']
LOCATION,aotearoa,1,['Aotearoa']
LOCATION,apatity,3,['Apatity']
LOCATION,apostle,2,['Apostle']
LOCATION,apostolove,1,['Apostolove']
LOCATION,apro,1,['Apro']
LOCATION,apside,2,['Apside']
LOCATION,arab world,1,['Arab World']
LOCATION,arabat spit,1,['Arabat Spit']
LOCATION,arabia,1,['Arabia']
LOCATION,arabian sea,2,['Arabian Sea']
LOCATION,aragón,3,['Aragón']
LOCATION,arbat,3,['Arbat']
LOCATION,arbat street,3,['Arbat Street']
LOCATION,arc de triomphe,3,['Arc de Triomphe']
LOCATION,arcadia,4,['Arcadia']
LOCATION,archangelsk,1,['Archangelsk']
LOCATION,archeda,1,['Archeda']
LOCATION,arcimboldi,1,['Arcimboldi']
LOCATION,arctic,116,['Arctic']
LOCATION,arctic circle,15,['Arctic Circle']
LOCATION,arctic metagaz,1,['Arctic Metagaz']
LOCATION,arctic murmansk,1,['Arctic Murmansk']
LOCATION,arctic norway,2,['Arctic Norway']
LOCATION,arctic ocean,4,['Arctic Ocean']
LOCATION,arctic states,1,['Arctic States']
LOCATION,arctic yamal,1,['Arctic Yamal']
LOCATION,arcyz,1,['Arcyz']
LOCATION,ardennes,1,['Ardennes']
LOCATION,ardnamurchan,2,['Ardnamurchan']
LOCATION,arena di verona,1,['Arena di Verona']
LOCATION,arezzo,1,['Arezzo']
LOCATION,argentina,114,['Argentina']
LOCATION,ariston theatre,1,['Ariston Theatre']
LOCATION,arizona,15,['Arizona']
LOCATION,arkansas,7,['Arkansas']
LOCATION,arkhangelsk,1,['Arkhangelsk']
LOCATION,arkhangelske,1,['Arkhangelske']
LOCATION,arkhangelske ”,1,['Arkhangelske ”']
LOCATION,arkhangelskoe,1,['Arkhangelskoe']
LOCATION,arkhanhelske,3,['Arkhanhelske']
LOCATION,arlington,2,['Arlington']
LOCATION,arlington national cemetery,1,['Arlington National Cemetery']
LOCATION,arm,1,['Arm']
LOCATION,armaged,1,['Armaged']
LOCATION,armageddon,1,['Armageddon']
LOCATION,armenia,176,['Armenia']
LOCATION,armiansk,2,['Armiansk']
LOCATION,army boulevard,1,['Army Boulevard']
LOCATION,arouca,1,['Arouca']
LOCATION,arras,3,['Arras']
LOCATION,art,1,['Art']
LOCATION,art palace,1,['Art Palace']
LOCATION,artemivka,1,['Artemivka']
LOCATION,artemivsk,1,['Artemivsk']
LOCATION,artemovsk,6,['Artemovsk']
LOCATION,artic,3,['Artic']
LOCATION,artyom,1,['Artyom']
LOCATION,artyomovsk,12,['Artyomovsk']
LOCATION,artyomovskoe,1,['Artyomovskoe']
LOCATION,arunachal pradesh,1,['Arunachal Pradesh']
LOCATION,as,1,['As']
LOCATION,asbest,1,['Asbest']
LOCATION,ashdod,1,['Ashdod']
LOCATION,ashgabat,6,['Ashgabat']
LOCATION,ashkelon,1,['Ashkelon']
LOCATION,asia,274,['Asia']
LOCATION,asia - pacific,34,['Asia - Pacific']
LOCATION,asia - pacific region,2,['Asia - Pacific Region']
LOCATION,asia pacific,3,['Asia Pacific']
LOCATION,asia square tower 1,1,['Asia Square Tower 1']
LOCATION,asia-pacific,1,['Asia-Pacific']
LOCATION,asiaand africa,1,['Asiaand Africa']
LOCATION,asiancountries,1,['Asiancountries']
LOCATION,asipovichi,1,['Asipovichi']
LOCATION,asipovichy,5,['Asipovichy']
LOCATION,askhr,1,['askhr']
LOCATION,askold,2,['Askold']
LOCATION,aslanove,1,['Aslanove']
LOCATION,aslin,1,['Aslin']
LOCATION,aspen,1,['Aspen']
LOCATION,assen,1,['Assen']
LOCATION,assisi,3,['Assisi']
LOCATION,assumption cathedral,1,['Assumption Cathedral']
LOCATION,astana,24,['Astana']
LOCATION,astra,1,['Astra']
LOCATION,astrakhan,22,['Astrakhan']
LOCATION,aswan high dam,1,['Aswan High Dam']
LOCATION,athens,79,['Athens']
LOCATION,atlanta,3,['Atlanta']
LOCATION,atlantic,73,['Atlantic']
LOCATION,atlantic ocean,9,['Atlantic Ocean']
LOCATION,atlantic ”,1,['Atlantic ”']
LOCATION,atlantis,1,['Atlantis']
LOCATION,atlas,4,['Atlas']
LOCATION,attica,1,['Attica']
LOCATION,atyrau,1,['Atyrau']
LOCATION,auckland,2,['Auckland']
LOCATION,aude,2,['Aude']
LOCATION,audley,1,['Audley']
LOCATION,aug,3,['Aug']
LOCATION,aughinish,1,['Aughinish']
LOCATION,augrabies falls,2,['Augrabies Falls']
LOCATION,augustand moscow,1,['Augustand Moscow']
LOCATION,augustdorf,1,['Augustdorf']
LOCATION,auschwitz,15,['Auschwitz']
LOCATION,auschwitz memorial and museum,1,['Auschwitz Memorial and Museum']
LOCATION,auschwitz museum,1,['Auschwitz Museum']
LOCATION,austin,4,['Austin']
LOCATION,australia,425,['Australia']
LOCATION,australian,1,['Australian']
LOCATION,austria,203,['Austria']
LOCATION,autonomous republic of crimea,1,['Autonomous Republic of Crimea']
LOCATION,auxois,2,['Auxois']
LOCATION,av,1,['Av']
